site_information,,,,,,,,,,liana_stem_density,,,,,,liana_basal_area,,,,,,environmental_factors,,,,,,,,,
site_name,site_code,plot_code,longitude,latitude,altitude,forest_type,forest_status,x,y,whole,twining,root,tendril,hook,scrambling,whole,twining,root,tendril,hook,scrambling,MAT,MAP,MSD,SOCN,SODM,ln(SODM),TSD,ln(TSD),TBA,ln(TBA)
Tomakomai,TM,TM_70_20,141.57,42.71,80,DB,old growth,70,20,9,1,8,0,0,0,117.457414,34.42839729,83.0290167,0,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,42,3.737669618,12888.37684,9.464081164
Tomakomai,TM,TM_40_40,141.57,42.71,80,DB,old growth,40,40,23,17,6,0,0,0,301.8368924,271.6607168,30.17617553,0,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,26,3.258096538,2850.92658,7.955399336
Tomakomai,TM,TM_80_40,141.57,42.71,80,DB,old growth,80,40,16,1,15,0,0,0,107.8959675,15.79278627,92.10318119,0,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,30,3.401197382,7633.827852,8.940344683
Tomakomai,TM,TM_20_80,141.57,42.71,80,DB,old growth,20,80,17,0,17,0,0,0,130.7264,0,130.7264,0,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,34,3.526360525,19033.11762,9.853935774
Tomakomai,TM,TM_60_80,141.57,42.71,80,DB,old growth,60,80,12,0,12,0,0,0,98.9442264,0,98.9442264,0,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,21,3.044522438,8015.405807,8.989120695
Kanumazawa,KM,KM_30_20,140.86,39.11,435,DB,old growth,30,20,2,0,2,0,0,0,37.40694373,0,37.40694373,0,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,63,4.143134726,35886.32103,10.48811147
Kanumazawa,KM,KM_80_20,140.86,39.11,435,DB,old growth,80,20,0,0,0,0,0,0,0,0,0,0,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,13,2.564949357,15962.63202,9.678005771
Kanumazawa,KM,KM_0_30,140.86,39.11,435,DB,old growth,0,30,0,0,0,0,0,0,0,0,0,0,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,13,2.564949357,12515.62801,9.434733383
Kanumazawa,KM,KM_60_40,140.86,39.11,435,DB,old growth,60,40,4,0,3,1,0,0,68.91705788,0,44.8241826,24.09287529,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,23,3.135494216,5594.026482,8.629454608
Kanumazawa,KM,KM_40_70,140.86,39.11,435,DB,old growth,40,70,7,0,7,0,0,0,78.15434287,0,78.15434287,0,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,28,3.33220451,21157.20029,9.959735566
Kanumazawa,KM,KM_10_80,140.86,39.11,435,DB,old growth,10,80,10,7,3,0,0,0,157.1488571,98.17688491,58.97197223,0,0,0,8.56722679,2334.499989,232.4,28.28568237,54.68666667,4.001619926,23,3.135494216,9097.842449,9.115792571
Osado,OS,OS_10_10,138.44,38.21,870,EC,old growth,10,10,3,0,3,0,0,0,71.36663487,0,71.36663487,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,28,3.33220451,31299.64984,10.35136219
Osado,OS,OS_50_30,138.44,38.21,870,EC,old growth,50,30,2,0,2,0,0,0,68.07164318,0,68.07164318,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,41,3.713572067,76074.98611,11.23947479
Osado,OS,OS_80_30,138.44,38.21,870,EC,old growth,80,30,11,0,11,0,0,0,84.7509056,0,84.7509056,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,31,3.433987204,45085.2197,10.71630975
Osado,OS,OS_40_70,138.44,38.21,870,EC,old growth,40,70,1,0,1,0,0,0,0.954572928,0,0.954572928,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,15,2.708050201,56869.6517,10.94851712
Osado,OS,OS_10_80,138.44,38.21,870,EC,old growth,10,80,2,0,2,0,0,0,394.6455406,0,394.6455406,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,23,3.135494216,84349.83437,11.34272812
Osado,OS,OS_70_80,138.44,38.21,870,EC,old growth,70,80,0,0,0,0,0,0,0,0,0,0,0,0,9.369654321,2887.829967,227.5,41.16228103,54.6254,4.000498976,21,3.044522438,46440.7153,10.74593184
Kosado,KS,KS_0_0,138.52,37.98,125,DB,secondary,0,0,12,1,10,0,0,1,127.4777003,45.83662361,65.95314106,0,0,15.68793561,12.99048934,2482.31998,54,31.13899947,40.9315,3.711899938,97,4.574710979,19805.3191,9.893705822
Kosado,KS,KS_30_0,138.52,37.98,125,DB,secondary,30,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99048934,2482.31998,54,31.13899947,40.9315,3.711899938,86,4.454347296,14946.32267,9.612220573
Kosado,KS,KS_0_30,138.52,37.98,125,DB,secondary,0,30,5,4,1,0,0,0,241.5573179,239.2079564,2.349361526,0,0,0,12.99048934,2482.31998,54,31.13899947,40.9315,3.711899938,91,4.510859507,17909.49487,9.793086291
Kosado,KS,KS_30_30,138.52,37.98,125,DB,secondary,30,30,2,2,0,0,0,0,44.86214525,44.86214525,0,0,0,0,12.99048934,2482.31998,54,31.13899947,40.9315,3.711899938,127,4.844187086,18713.50744,9.837000865
Ogawa,OG,OG_30_0,140.59,36.94,635,DB,old growth,30,0,1,1,0,0,0,0,188.7330935,188.7330935,0,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,32,3.465735903,27103.27114,10.20740971
Ogawa,OG,OG_80_0,140.59,36.94,635,DB,old growth,80,0,3,2,1,0,0,0,141.1232775,140.0845884,1.038689071,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,33,3.496507561,9708.323409,9.18073888
Ogawa,OG,OG_0_30,140.59,36.94,635,DB,old growth,0,30,0,0,0,0,0,0,0,0,0,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,27,3.295836866,12902.85357,9.465203773
Ogawa,OG,OG_50_40,140.59,36.94,635,DB,old growth,50,40,0,0,0,0,0,0,0,0,0,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,16,2.772588722,5040.718752,8.52530396
Ogawa,OG,OG_80_90,140.59,36.94,635,DB,old growth,80,90,7,7,0,0,0,0,471.0053778,471.0053778,0,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,53,3.970291914,24877.90863,10.12173549
Ogawa,OG,OG_50_100,140.59,36.94,635,DB,old growth,50,100,1,1,0,0,0,0,120.4174257,120.4174257,0,0,0,0,9.487200468,1831.860011,68.7,27.96163573,41.59555556,3.727993324,27,3.295836866,16919.06968,9.736196648
Kayanodaira,KY,KY_40_0,138.5,36.84,1495,DB,old growth,40,0,6,0,6,0,0,0,52.65367262,0,52.65367262,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,29,3.36729583,6044.289344,8.706869195
Kayanodaira,KY,KY_80_20,138.5,36.84,1495,DB,old growth,80,20,3,3,0,0,0,0,3.718153445,3.718153445,0,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,55,4.007333185,7679.606384,8.946323573
Kayanodaira,KY,KY_10_40,138.5,36.84,1495,DB,old growth,10,40,0,0,0,0,0,0,0,0,0,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,18,2.890371758,23875.98768,10.08062853
Kayanodaira,KY,KY_50_40,138.5,36.84,1495,DB,old growth,50,40,1,0,1,0,0,0,0.785398163,0,0.785398163,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,72,4.276666119,13205.82649,9.488413412
Kayanodaira,KY,KY_80_50,138.5,36.84,1495,DB,old growth,80,50,5,2,3,0,0,0,21.06516414,4.691575929,16.37358821,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,34,3.526360525,14173.9501,9.559161059
Kayanodaira,KY,KY_30_80,138.5,36.84,1495,DB,old growth,30,80,0,0,0,0,0,0,0,0,0,0,0,0,4.859080648,2436.519989,210.9,29.77187761,58.06755556,4.061607084,25,3.218875825,16693.10785,9.72275121
Otanomosutaira,OT,OT_10_0,138.5,36.7,1730,EC,old growth,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,18,2.890371758,17889.11348,9.791947622
Otanomosutaira,OT,OT_40_0,138.5,36.7,1730,EC,old growth,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,21,3.044522438,24271.91982,10.0970754
Otanomosutaira,OT,OT_80_20,138.5,36.7,1730,EC,old growth,80,20,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,24,3.17805383,30508.08,10.32574685
Otanomosutaira,OT,OT_0_30,138.5,36.7,1730,EC,old growth,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,36,3.583518938,21770.75533,9.988322849
Otanomosutaira,OT,OT_40_70,138.5,36.7,1730,EC,old growth,40,70,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,13,2.564949357,14901.87786,9.609242515
Otanomosutaira,OT,OT_70_80,138.5,36.7,1730,EC,old growth,70,80,0,0,0,0,0,0,0,0,0,0,0,0,4.151418237,2032.409987,157,31.70840202,74.27511111,4.307775917,16,2.772588722,11399.40198,9.341316175
Ooyamazawa,OY,OY_0_0,138.76,35.96,1425,DB,old growth,0,0,1,0,0,1,0,0,22.99788928,0,0,22.99788928,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,35,3.555348061,22900.96471,10.03893432
Ooyamazawa,OY,OY_40_20,138.76,35.96,1425,DB,old growth,40,20,0,0,0,0,0,0,0,0,0,0,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,18,2.890371758,16094.811,9.686252201
Ooyamazawa,OY,OY_80_30,138.76,35.96,1425,DB,old growth,80,30,0,0,0,0,0,0,0,0,0,0,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,12,2.48490665,17252.37912,9.755705333
Ooyamazawa,OY,OY_0_50,138.76,35.96,1425,DB,old growth,0,50,0,0,0,0,0,0,0,0,0,0,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,22,3.091042453,7650.399065,8.942513091
Ooyamazawa,OY,OY_50_70,138.76,35.96,1425,DB,old growth,50,70,0,0,0,0,0,0,0,0,0,0,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,28,3.33220451,14054.28866,9.550682871
Ooyamazawa,OY,OY_80_80,138.76,35.96,1425,DB,old growth,80,80,0,0,0,0,0,0,0,0,0,0,0,0,6.424205392,1550.749997,59.5,25.03682484,65.97133333,4.189220304,19,2.944438979,10603.24927,9.268915768
Chichibu,CC,CC_30_0,138.8,35.94,1200,DB,old growth,30,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,44,3.784189634,28947.94855,10.27325462
Chichibu,CC,CC_80_0,138.8,35.94,1200,DB,old growth,80,0,3,0,3,0,0,0,202.0989256,0,202.0989256,0,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,9,2.197224577,3176.100819,8.063409566
Chichibu,CC,CC_30_30,138.8,35.94,1200,DB,old growth,30,30,1,1,0,0,0,0,3.922278428,3.922278428,0,0,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,54,3.988984047,17302.25828,9.758592308
Chichibu,CC,CC_80_50,138.8,35.94,1200,DB,old growth,80,50,0,0,0,0,0,0,0,0,0,0,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,29,3.36729583,11402.42751,9.341581551
Chichibu,CC,CC_0_80,138.8,35.94,1200,DB,old growth,0,80,0,0,0,0,0,0,0,0,0,0,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,62,4.127134385,24927.04931,10.12370881
Chichibu,CC,CC_50_80,138.8,35.94,1200,DB,old growth,50,80,3,2,0,1,0,0,18.69200505,13.97773111,0,4.714273936,0,0,9.1169096,1560.479994,44,36.60694512,88.43955556,4.482319331,43,3.761200116,21119.4933,9.957951746
Ashiu,AU,AU_30_0,135.74,35.35,750,EC,old growth,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,33,3.496507561,23044.81532,10.04519609
Ashiu,AU,AU_70_0,135.74,35.35,750,EC,old growth,70,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,53,3.970291914,37490.91878,10.53185402
Ashiu,AU,AU_20_40,135.74,35.35,750,EC,old growth,20,40,0,0,0,0,0,0,0,0,0,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,68,4.219507705,63325.86189,11.05604909
Ashiu,AU,AU_50_50,135.74,35.35,750,EC,old growth,50,50,0,0,0,0,0,0,0,0,0,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,17,2.833213344,12251.11329,9.413372092
Ashiu,AU,AU_0_70,135.74,35.35,750,EC,old growth,0,70,0,0,0,0,0,0,0,0,0,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,39,3.663561646,43833.28862,10.68814882
Ashiu,AU,AU_70_80,135.74,35.35,750,EC,old growth,70,80,3,0,3,0,0,0,92.86459287,0,92.86459287,0,0,0,10.14489995,2621.839991,231.9,50.31477837,77.97555556,4.356395387,40,3.688879454,25897.7759,10.16191237
Aichi-akazu,AI,AI_0_0,137.17,35.22,335,BC,secondary,0,0,1,1,0,0,0,0,27.23538964,27.23538964,0,0,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,97,4.574710979,21896.86732,9.994098861
Aichi-akazu,AI,AI_80_0,137.17,35.22,335,BC,secondary,80,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,119,4.779123493,19895.99922,9.898273947
Aichi-akazu,AI,AI_50_20,137.17,35.22,335,BC,secondary,50,20,2,0,1,1,0,0,10.03487525,0,1.484716688,8.550158566,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,48,3.871201011,10653.99105,9.273689847
Aichi-akazu,AI,AI_20_40,137.17,35.22,335,BC,secondary,20,40,0,0,0,0,0,0,0,0,0,0,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,85,4.442651256,15586.50353,9.654160661
Aichi-akazu,AI,AI_0_60,137.17,35.22,335,BC,secondary,0,60,0,0,0,0,0,0,0,0,0,0,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,77,4.343805422,14206.9469,9.561486342
Aichi-akazu,AI,AI_80_70,137.17,35.22,335,BC,secondary,80,70,0,0,0,0,0,0,0,0,0,0,0,0,13.36669552,1944.120004,18.3,46.85314114,39.14688889,3.667320953,67,4.204692619,13041.60565,9.475899961
Kamigamo,KG,KG_60_0,135.77,35.07,140,EC,secondary,60,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,52,3.951243719,18384.08377,9.819240557
Kamigamo,KG,KG_0_10,135.77,35.07,140,EC,secondary,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,68,4.219507705,22101.93448,10.00342042
Kamigamo,KG,KG_30_30,135.77,35.07,140,EC,secondary,30,30,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,54,3.988984047,21015.22214,9.953002318
Kamigamo,KG,KG_60_30,135.77,35.07,140,EC,secondary,60,30,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,45,3.80666249,19972.56151,9.902114686
Kamigamo,KG,KG_0_40,135.77,35.07,140,EC,secondary,0,40,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,83,4.418840608,21822.90722,9.990715487
Kamigamo,KG,KG_50_60,135.77,35.07,140,EC,secondary,50,60,0,0,0,0,0,0,0,0,0,0,0,0,15.29883833,1912.290004,12.6,39.63522155,192.238,5.258734188,71,4.262679877,23227.33739,10.0530852
Wakayama,WK,WK_10_0,135.53,34.07,825,EC,old secondary,10,0,1,1,0,0,0,0,54.11393346,54.11393346,0,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,61,4.110873864,28816.22953,10.26869403
Wakayama,WK,WK_80_0,135.53,34.07,825,EC,old secondary,80,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,83,4.418840608,31195.19327,10.3480193
Wakayama,WK,WK_40_20,135.53,34.07,825,EC,old secondary,40,20,2,2,0,0,0,0,68.13263959,68.13263959,0,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,26,3.258096538,17710.50742,9.781913382
Wakayama,WK,WK_10_50,135.53,34.07,825,EC,old secondary,10,50,1,1,0,0,0,0,8.545132018,8.545132018,0,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,47,3.850147602,23733.38087,10.07463781
Wakayama,WK,WK_50_70,135.53,34.07,825,EC,old secondary,50,70,0,0,0,0,0,0,0,0,0,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,43,3.761200116,50226.82836,10.82430459
Wakayama,WK,WK_80_70,135.53,34.07,825,EC,old secondary,80,70,4,3,1,0,0,0,44.81748388,9.052185072,35.76529881,0,0,0,10.43900259,3228.000007,53.2,42.83189212,90.93244444,4.510116862,51,3.931825633,35193.72169,10.46862298
Ichinomata,IC,IC_0_20,132.92,33.15,560,BC,old growth,0,20,1,0,1,0,0,0,3.818134632,0,3.818134632,0,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,41,3.713572067,11969.56501,9.390122458
Ichinomata,IC,IC_40_20,132.92,33.15,560,BC,old growth,40,20,0,0,0,0,0,0,0,0,0,0,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,105,4.65396035,51567.82176,10.85065315
Ichinomata,IC,IC_70_40,132.92,33.15,560,BC,old growth,70,40,1,1,0,0,0,0,45.07586298,45.07586298,0,0,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,67,4.204692619,19570.16051,9.881761262
Ichinomata,IC,IC_0_50,132.92,33.15,560,BC,old growth,0,50,6,0,5,1,0,0,24.34192382,0,23.08560092,1.256322902,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,32,3.465735903,14693.50186,9.595160625
Ichinomata,IC,IC_30_70,132.92,33.15,560,BC,old growth,30,70,0,0,0,0,0,0,0,0,0,0,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,83,4.418840608,29556.06288,10.29404418
Ichinomata,IC,IC_60_70,132.92,33.15,560,BC,old growth,60,70,0,0,0,0,0,0,0,0,0,0,0,0,12.71653922,3207.550018,36.6,42.4426168,46.79111111,3.845693251,61,4.110873864,34336.94208,10.44397708
Aya,AY,AY_70_0,131.19,32.05,490,EB,old growth,70,0,3,3,0,0,0,0,57.44192636,57.44192636,0,0,0,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,55,4.007333185,31054.85044,10.34351029
Aya,AY,AY_40_10,131.19,32.05,490,EB,old growth,40,10,13,10,1,1,1,0,129.709788,90.08770406,1.550375975,2.643021899,35.42868611,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,106,4.663439094,21351.66614,9.968885055
Aya,AY,AY_0_30,131.19,32.05,490,EB,old growth,0,30,5,5,0,0,0,0,66.25153627,66.25153627,0,0,0,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,67,4.204692619,19091.55216,9.857001221
Aya,AY,AY_0_60,131.19,32.05,490,EB,old growth,0,60,2,0,2,0,0,0,6.155479566,0,6.155479566,0,0,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,49,3.891820298,14233.24964,9.56333603
Aya,AY,AY_40_60,131.19,32.05,490,EB,old growth,40,60,5,0,5,0,0,0,133.9757441,0,133.9757441,0,0,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,68,4.219507705,46848.8013,10.7546807
Aya,AY,AY_60_70,131.19,32.05,490,EB,old growth,60,70,7,5,2,0,0,0,46.58573498,29.43420989,17.15152509,0,0,0,13.91059384,3778.04002,12.1,37.62460011,48.00266667,3.871256565,57,4.043051268,25208.80449,10.1349486
Tano,TN,TN_60_0,131.3,31.86,175,EB,secondary,60,0,1,0,0,0,1,0,142.3871741,0,0,0,142.3871741,0,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,28,3.33220451,4724.412627,8.46049852
Tano,TN,TN_40_20,131.3,31.86,175,EB,secondary,40,20,0,0,0,0,0,0,0,0,0,0,0,0,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,152,5.023880521,31960.76674,10.37226439
Tano,TN,TN_20_30,131.3,31.86,175,EB,secondary,20,30,1,1,0,0,0,0,9.70328015,9.70328015,0,0,0,0,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,99,4.59511985,20681.39385,9.936989727
Tano,TN,TN_80_50,131.3,31.86,175,EB,secondary,80,50,2,0,0,1,1,0,36.19094832,0,0,3.397868074,32.79308025,0,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,64,4.158883083,9711.126923,9.181027613
Tano,TN,TN_40_60,131.3,31.86,175,EB,secondary,40,60,2,2,0,0,0,0,2.277497594,2.277497594,0,0,0,0,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,96,4.564348191,25189.99397,10.13420213
Tano,TN,TN_20_80,131.3,31.86,175,EB,secondary,20,80,5,1,2,1,0,1,21.23190417,3.032579389,2.607836062,14.36713152,0,1.224357197,16.66729133,3237.310014,0.3,39.53318732,35.75537778,3.576700685,81,4.394449155,15704.30127,9.66168992
Yona,YN,YN_20_0,128.23,26.74,250,EB,old secondary,20,0,12,11,1,0,0,0,15.89041126,15.1050131,0.785398163,0,0,0,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,103,4.634728988,16537.49411,9.713385452
Yona,YN,YN_80_20,128.23,26.74,250,EB,old secondary,80,20,0,0,0,0,0,0,0,0,0,0,0,0,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,167,5.117993812,21960.30807,9.996991924
Yona,YN,YN_30_30,128.23,26.74,250,EB,old secondary,30,30,11,11,0,0,0,0,21.62782338,21.62782338,0,0,0,0,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,118,4.770684624,14070.14765,9.551810644
Yona,YN,YN_0_50,128.23,26.74,250,EB,old secondary,0,50,36,32,2,2,0,0,69.32536801,64.86901883,2.821778521,1.634570658,0,0,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,100,4.605170186,27747.22238,10.23089102
Yona,YN,YN_50_70,128.23,26.74,250,EB,old secondary,50,70,26,24,1,0,0,1,94.07098949,88.82680741,3.454102583,0,0,1.790079494,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,87,4.465908119,22195.44597,10.00764241
Yona,YN,YN_30_80,128.23,26.74,250,EB,old secondary,30,80,42,41,1,0,0,0,240.5491022,235.2712265,5.277875658,0,0,0,21.07641311,2785.080003,1,37.05101171,49.65033333,3.905005104,40,3.688879454,7454.219908,8.916535582
